,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Aroma,Flavor,Aftertaste,Acidity,Sweetness,Body,Uniformity,Clean.Cup,Balance,Cupper.Points,Total.Cup.Points
1,Robusta,ankole coffee producers coop,Uganda,kyangundu cooperative society,,ankole coffee producers,0,ankole coffee producers coop,1488,sheema south western,Ankole coffee producers coop,7.83,08.08,7.75,7.92,8,8.25,10,10,7.92,8,83.75
2,Robusta,nishant gurjer,India,sethuraman estate kaapi royale,25,sethuraman estate,14/1148/2017/21,kaapi royale,3170,chikmagalur karnataka indua,Nishant Gurjer Kaapi Royale,8,7.75,7.92,8,8,7.92,10,10,7.92,8,83.5
3,Robusta,andrew hetzel,India,sethuraman estate,,,0,sethuraman estate,1000m,chikmagalur,Nishant Gurjer,7.92,7.83,7.92,8,7.83,7.83,10,10,7.92,8,83.25
4,Robusta,ugacof,Uganda,ugacof project area,,ugacof,0,ugacof ltd,1212,central,UGACOF,8,7.92,7.92,7.75,7.75,7.83,10,10,7.75,08.08,83
5,Robusta,katuka development trust ltd,Uganda,katikamu capca farmers association,,katuka development trust,0,katuka development trust ltd,1200-1300,luwero central region,Katuka Development Trust Ltd,8.33,7.83,7.83,7.75,7.58,8.25,10,10,7.75,7.67,83
6,Robusta,andrew hetzel,India,,,(self),,"cafemakers, llc",3000',chikmagalur,Sethuraman Estates,8,7.92,7.67,8,7.75,7.75,10,10,7.92,7.75,82.75
7,Robusta,andrew hetzel,India,sethuraman estates,,,,cafemakers,750m,chikmagalur,Nishant Gurjer,7.67,7.75,7.83,7.83,8,7.92,10,10,7.75,7.83,82.58
8,Robusta,nishant gurjer,India,sethuraman estate kaapi royale,7,sethuraman estate,14/1148/2017/18,kaapi royale,3140,chikmagalur karnataka india,Nishant Gurjer Kaapi Royale,7.67,7.75,7.83,7.67,7.92,7.92,10,10,7.83,7.92,82.5
9,Robusta,nishant gurjer,India,sethuraman estate,RKR,sethuraman estate,14/1148/2016/17,kaapi royale,1000,chikmagalur karnataka,Sethuraman Estate Kaapi Royale,7.67,7.75,7.58,7.83,7.92,7.83,10,10,8,7.92,82.5
10,Robusta,ugacof,Uganda,ishaka,,nsubuga umar,0,ugacof ltd,900-1300,western,Nsubuga Umar,7.67,7.83,7.83,7.83,7.75,7.92,10,10,7.75,7.83,82.42
11,Robusta,ugacof,Uganda,ugacof project area,,ugacof,0,ugacof ltd,1095,iganga namadrope eastern,UGACOF project area,7.58,7.92,7.75,7.83,7.67,7.5,10,10,7.67,7.83,81.75
12,Robusta,nishant gurjer,India,sethuraman estate kaapi royale,RC AB,sethuraman estate,14/1148/2016/12,kaapi royale,1000,chikmagalur karnataka,Sethuraman Estate Kaapi Royale,7.67,7.83,7.75,7.5,7.75,7.75,10,10,7.58,7.75,81.58
13,Robusta,andrew hetzel,India,sethuraman estates,,,,cafemakers,750m,chikmagalur,Nishant Gurjer,7.58,7.58,7.67,7.58,7.5,7.67,10,10,7.67,8.33,81.58
14,Robusta,kasozi coffee farmers association,Uganda,kasozi coffee farmers,,,0,kasozi coffee farmers association,1367,eastern,Kasozi coffee farmers Association,8,7.75,7.75,7.58,7.58,7.67,10,10,7.5,7.67,81.5
15,Robusta,ankole coffee producers coop,Uganda,kyangundu coop society,,ankole coffee producers coop union ltd,0,ankole coffee producers coop,1488,south western,Ankole coffee producers coop union Ltd,8,7.67,7.75,7.5,7.58,7.67,10,10,7.58,7.75,81.5
16,Robusta,andrew hetzel,India,sethuraman estate,,,0,sethuraman estate,1000m,chikmagalur,Nishant Gurger,7.75,7.75,7.67,7.67,7.58,7.58,10,10,7.58,7.83,81.42
17,Robusta,andrew hetzel,India,sethuraman estates,,sethuraman estates,,"cafemakers, llc",750m,chikmagalur,Nishant Gurjer,7.5,7.5,7.25,7.83,7.83,7.67,10,10,7.83,7.83,81.25
18,Robusta,kawacom uganda ltd,Uganda,bushenyi,,kawacom,0,kawacom uganda ltd,1600,western,Kawacom uganda ltd,7.33,7.58,7.5,7.75,7.75,7.75,10,10,7.67,7.58,80.92
19,Robusta,nitubaasa ltd,Uganda,kigezi coffee farmers association,,nitubaasa,0,nitubaasa ltd,1745,western,Kigezi Coffee Farmers Association,7.83,7.58,7.33,7.67,7.75,7.5,10,10,7.5,7.42,80.58
20,Robusta,mannya coffee project,Uganda,mannya coffee project,,mannya coffee project,0,mannya coffee project,1200,southern,Mannya coffee project,7.75,7.42,7.33,7.58,7.67,7.67,10,10,7.58,7.5,80.5
21,Robusta,andrew hetzel,India,sethuraman estates,,,,cafemakers,750m,chikmagalur,Nishant Gurjer,7.67,7.67,7.5,7.33,7.42,7.58,10,10,7.5,7.5,80.17
22,Robusta,andrew hetzel,India,sethuraman estates,,sethuraman estates,,"cafemakers, llc",750m,chikmagalur,Nishant Gurjer,7.58,7.42,7.42,7.83,7.42,7.42,10,10,7.5,7.58,80.17
23,Robusta,andrew hetzel,United States,sethuraman estates,,sethuraman estates,n/a,"cafemakers, llc",3000',chikmagalur,Sethuraman Estates,7.92,7.5,7.42,7.42,7.58,7.42,9.33,10,7.42,7.33,79.33
24,Robusta,luis robles,Ecuador,robustasa,Lavado 1,our own lab,,robustasa,,"san juan, playas",Café Robusta del Ecuador S.A.,7.75,7.58,7.33,7.58,7.75,05.08,10,10,7.83,7.83,78.75
25,Robusta,luis robles,Ecuador,robustasa,Lavado 3,own laboratory,,robustasa,40,"san juan, playas",Café Robusta del Ecuador S.A.,7.5,7.67,7.75,7.75,8.42,5.17,10,10,5.25,8.58,78.08
26,Robusta,james moore,United States,fazenda cazengo,,cafe cazengo,,global opportunity fund,795 meters,"kwanza norte province, angola",Cafe Cazengo,7.33,7.33,7.17,7.42,7.42,7.5,9.33,9.33,7.17,7.17,77.17
27,Robusta,cafe politico,India,,,,14-1118-2014-0087,cafe politico,,,,7.42,6.83,6.75,7.17,07.08,7.25,9.33,9.33,7,6.92,75.08
28,Robusta,cafe politico,Vietnam,,,,n/a,cafe politico,,,,6.75,6.67,6.5,6.83,6.67,6.92,9.33,9.33,6.83,7.92,73.75